Object;Prov
GAO_1;Indet
GAO_2;Local
GAO_3;Local
GAO_4;Local
GAO_5;Local
GAO_6;Local_old
GAO_7;Local_old
GAO_8;Local_old
GAO_9;Local_old
GAO_10;Comb_black
GAO_11;Local_old
GAO_12;Local_old
GAO_13;Indet
GAO_14;Comb_black
GAO_15;Comb_red
GAO_16;Local
GAO_17;Indet
GAO_18;Comb_red
GAO_19;Local
GAO_20;Indet
GAO_21;Local
GAO_22;Local
GAO_23;Comb_red
GAO_24;Local
GAO_25;Local
GAO_26;Local
GAO_27;Local
GAO_28;Indet
GAO_29;Indet
GAO_30;Comb_red
GAO_31;Indet
GAO_32;Bottle
GAO_33;Local?
GAO_34;Local
GAO_35;Comb_red
GAO_36;Local
GAO_37;Comb_red
GAO_38;Local
GAO_39;Local_old
GAO_40;Local_old
GAO_41;Local_old
GAO_42;Local
GAO_43;Local
GAO_44;Comb_red
GAO_45;Local
GAO_46;Local
GAO_47;Indet
GAO_48;Local
GAO_49;Bottle
GAO_50;Indet
GAO_51;Local
GAO_52;Local
