Object;Phase
KAM_1;Medieval
KAM_2;Medieval
KAM_3;Medieval
KAM_4;Medieval
KAM_6;Medieval
KAM_7;Medieval
KAM_72;Medieval
KAM_74;Medieval
KAM_8;Medieval
KAM_87;Medieval
KAM_88;Medieval
KAM_89;Medieval
KAM_90;Medieval
KAM_DR;Medieval
TIE_10;Medieval
TIE_100;Medieval
TIE_101;Medieval
TIE_11;Medieval
TIE_12;Medieval
TIE_13;Medieval
TIE_14;Medieval
TIE_15;Medieval
TIE2_2401;Early_Ironage
TIE2_2402;Early_Ironage
TIE_2488;Early_Ironage
TIE2_2492;Early_Ironage
TIE2_2495;Early_Ironage
TIE2_2501;Early_Ironage
TIE2_2511;Early_Ironage
TIE2_2535;Early_Ironage
TIE2_2548;Early_Ironage
TIE2_2588;Early_Ironage
TIE2_3811;Early_Ironage
TIE2_3848;Early_Ironage
TIE2_3852;Early_Ironage
TIE2_3853;Early_Ironage
TIE2_3854;Early_Ironage
TIE2_3855;Early_Ironage
TIE2_3858;Early_Ironage
TIE2_3860;Early_Ironage
TIE2_3862;Early_Ironage
TIE_62;Medieval
TIE_63;Medieval
TIE_64;Medieval
TIE_65;Medieval
TIE_66;Medieval
TIE_67;Medieval
TIE_68;Medieval
TIE_69;Medieval
TIE_70;Medieval
TIE_71;Medieval
TIE_73;Medieval
TIE_75;Medieval
TIE_76;Medieval
TIE_77;Medieval
TIE_78;Medieval
TIE_79;Medieval
TIE_80;Medieval
TIE_81;Medieval
TIE_82;Medieval
TIE_83;Medieval
TIE_85;Medieval
TIE_86;Medieval
TIE_9;Medieval
TIE_J6;Medieval
TIE_S2;Medieval
