"";"Nr";"Object";"N_Measurements";"purpose";"Site";"Region";"Time";"Type";"Duration";"Units";"Sequence";"User.Login";"Mo";"Mo.Error";"Zr";"Zr.Error";"Sr";"Sr.Error";"U";"U.Error";"Rb";"Rb.Error";"Th";"Th.Error";"Pb";"Pb.Error";"Se";"Se.Error";"As";"As.Error";"Hg";"Hg.Error";"Au";"Au.Error";"Zn";"Zn.Error";"W";"W.Error";"Cu";"Cu.Error";"Ni";"Ni.Error";"Co";"Co.Error";"Fe";"Fe.Error";"Mn";"Mn.Error";"Cr";"Cr.Error";"V";"V.Error";"Ti";"Ti.Error";"Sc";"Sc.Error";"Ca";"Ca.Error";"K";"K.Error";"S";"S.Error";"Ba";"Ba.Error";"Cs";"Cs.Error";"Te";"Te.Error";"Sb";"Sb.Error";"Sn";"Sn.Error";"Cd";"Cd.Error";"Ag";"Ag.Error";"Pd";"Pd.Error";"Ce";"Ce.Error";"La";"La.Error";"Bal";"Bal.Error";"Nb";"Nb.Error";"Y";"Y.Error";"Bi";"Bi.Error";"Re";"Re.Error";"Ta";"Ta.Error";"Hf";"Hf.Error";"Al";"Al.Error";"P";"P.Error";"Si";"Si.Error";"Cl";"Cl.Error";"Mg";"Mg.Error"
"1";123;"MAR2_20";1;"pottery";"Marandet";"Marandet";"25.09.2023 12:34";"TestAll Geo";"330.25";"ppm";"Final";"Juan-Marco Puerta Schardt";"<LOD";"1.5";"404.82";"4.45";"216.03";"3.27";"<LOD";"4.02";"65.36";"2.31";"4.96";"0.69";"35.6";"3.67";"<LOD";"1.76";"7.07";"2.97";"<LOD";"31.04";"0.41";"0.15";"88.42";"6.68";"<LOD";"33.89";"65.82";"9.19";"89.94";"15.88";"<LOD";"95.59";"35012.77";"190.45";"327.56";"34.94";"155.4";"10.7";"157.07";"6.78";"7239.94";"55.33";"<LOD";"1.66";"3534.79";"55.35";"10920.12";"122.16";"323.39";"80.51";"845.63";"23.71";"20.55";"7.84";"440.15";"14.79";"50.77";"5.97";"<LOD";"0.66";"<LOD";"6.27";"<LOD";"3.58";"42.31";"5.31";"422.08";"22.76";"242.5";"18.17";"557338.63";"2418.63";"39.7";"1.94";"103.35";"2.57";"<LOD";"42.92";"<LOD";"1.5";"<LOD";"1.5";"<LOD";"1.5";"114350.52";"1214";"760.88";"51.85";"260451.53";"1107.12";"2703.82";"33.62";"<LOD";"1266.26"
"2";124;"MAR2_20";2;"pottery";"Marandet";"Marandet";"25.09.2023 13:04";"TestAll Geo";"330.24";"ppm";"Final";"Juan-Marco Puerta Schardt";"<LOD";"1.5";"379.76";"4.9";"257.45";"3.98";"<LOD";"4.72";"73.27";"2.72";"<LOD";"206.43";"61.66";"4.85";"<LOD";"2.64";"<LOD";"8.34";"<LOD";"39.16";"<LOD";"0.26";"102.19";"7.97";"<LOD";"43.3";"56.17";"11.34";"38.31";"19.02";"<LOD";"88.45";"32150.4";"204.47";"330.36";"38.76";"75.73";"5.64";"149.85";"7.09";"4505.71";"36.93";"<LOD";"0.85";"1816.52";"28.33";"6162.63";"66.85";"296.28";"47.44";"467.03";"28.82";"<LOD";"14.62";"349.93";"18.62";"25.39";"7.57";"<LOD";"0.84";"<LOD";"8.74";"<LOD";"5.29";"28.55";"6.65";"287.85";"28.21";"164.52";"22.85";"585328.31";"2753.39";"37.6";"2.27";"180.88";"3.68";"<LOD";"50.28";"<LOD";"1.5";"<LOD";"1.5";"<LOD";"1.5";"97494.08";"1314.95";"<LOD";"106.46";"247939.13";"1230.18";"4583.9";"53.8";"<LOD";"1711.08"
"3";125;"MAR2_20";3;"pottery";"Marandet";"Marandet";"25.09.2023 13:16";"TestAll Geo";"330.49";"ppm";"Final";"Juan-Marco Puerta Schardt";"<LOD";"1.5";"390.35";"4.7";"228.25";"3.59";"4.69";"2.97";"67.97";"2.5";"4.45";"0.73";"42.6";"4.16";"<LOD";"2.44";"6.6";"3.34";"<LOD";"36.01";"0.41";"0.17";"105.76";"7.58";"<LOD";"39.72";"66.38";"10.7";"100.42";"18.44";"84.06";"53.74";"29055.91";"185.71";"367.49";"37.67";"56.76";"5.94";"130.81";"6.34";"4382.24";"38.57";"<LOD";"0.94";"2105.31";"32.23";"7128.96";"75.47";"301.93";"51.33";"1240.01";"32.82";"93.89";"10.51";"496.05";"19.59";"83.82";"8.06";"<LOD";"0.88";"<LOD";"8.15";"<LOD";"4.88";"41.19";"6.84";"442.09";"29.07";"256.82";"23.23";"632281.5";"2354.6";"36.75";"2.07";"123.76";"2.96";"<LOD";"45.06";"<LOD";"1.5";"<LOD";"1.5";"<LOD";"1.5";"86840.01";"1128.62";"180.26";"63.41";"215680.69";"1086.17";"4508.71";"48.61";"<LOD";"1433.82"
"4";126;"MAR2_3";1;"pottery";"Marandet";"Marandet";"25.09.2023 13:53";"TestAll Geo";"330.54";"ppm";"Final";"Juan-Marco Puerta Schardt";"<LOD";"1.5";"319.6";"4.4";"642.95";"5.53";"<LOD";"4.55";"56.61";"2.34";"5.56";"0.89";"298.37";"8.02";"<LOD";"2.12";"<LOD";"12.71";"<LOD";"32.37";"0.28";"0.16";"66.42";"6.18";"<LOD";"34.02";"269.97";"12.8";"106.28";"16.05";"<LOD";"82.76";"23449.26";"156.29";"418.49";"35.97";"134.01";"10.84";"223.32";"7.45";"8246.72";"62.5";"3.13";"1.53";"8266.17";"76.84";"13001.29";"128.98";"577.05";"87.06";"1993.94";"28.25";"33.58";"7.8";"427.85";"14.48";"43.15";"5.8";"<LOD";"0.64";"<LOD";"6.3";"<LOD";"3.56";"30.19";"5";"448.06";"23.77";"256.07";"18.95";"529294.44";"2688.34";"33.31";"1.95";"116.91";"2.79";"<LOD";"52.81";"<LOD";"1.5";"<LOD";"1.5";"<LOD";"1.5";"123238.09";"1344.18";"4203.69";"85.14";"277663.72";"1218.12";"2212.67";"33.23";"<LOD";"1401.26"
"5";127;"MAR2_3";2;"pottery";"Marandet";"Marandet";"25.09.2023 14:30";"TestAll Geo";"330";"ppm";"Final";"Juan-Marco Puerta Schardt";"<LOD";"1.5";"318.07";"4.43";"529.85";"5.17";"<LOD";"4.41";"51.75";"2.31";"4.95";"0.93";"369.31";"9.05";"<LOD";"2.26";"<LOD";"14.59";"<LOD";"33.4";"0.5";"0.17";"55.76";"6.16";"<LOD";"36.11";"241.72";"13.05";"53.64";"16.54";"103.19";"48.05";"24709.82";"165";"652.04";"41.34";"83.37";"7.51";"250.64";"7.18";"5201.46";"49.89";"3.01";"1.03";"5316.66";"50.6";"7961.02";"85.21";"715.57";"68.3";"1919.91";"34.03";"72.61";"9.72";"496.47";"18.26";"65.1";"7.34";"<LOD";"0.81";"<LOD";"7.54";"<LOD";"4.38";"41.8";"6.39";"377.49";"26.52";"227.12";"21.43";"644634.19";"2279.52";"32.36";"1.99";"114.69";"2.86";"<LOD";"54.8";"<LOD";"1.5";"<LOD";"1.5";"<LOD";"1.5";"74940.18";"1047.39";"3154.22";"87.05";"212718.09";"1096.18";"3377.54";"42.92";"<LOD";"1440.74"
"6";128;"MAR2_3";3;"pottery";"Marandet";"Marandet";"25.09.2023 14:46";"TestAll Geo";"330.57";"ppm";"Final";"Juan-Marco Puerta Schardt";"<LOD";"1.5";"317.42";"4.39";"642.4";"5.53";"<LOD";"4.55";"53.86";"2.31";"5.89";"0.89";"292.84";"7.95";"<LOD";"2.03";"<LOD";"12.77";"<LOD";"31.09";"0.43";"0.16";"67.69";"6.2";"<LOD";"33.67";"282.52";"12.99";"<LOD";"28.21";"104.96";"44.81";"22565.3";"153.37";"420.66";"35.84";"103.58";"9.74";"233.71";"7.16";"7854.08";"59.5";"2.51";"1.38";"7616.16";"69.3";"11448.21";"114.67";"551.39";"79.24";"1940.2";"28.74";"27.89";"7.97";"426.45";"14.83";"49.74";"6";"<LOD";"0.65";"<LOD";"6.38";"<LOD";"3.67";"32.26";"5.17";"408.76";"23.73";"221.25";"18.87";"559248.06";"2539.48";"33.25";"1.94";"114.28";"2.76";"<LOD";"52.65";"<LOD";"1.5";"<LOD";"1.5";"<LOD";"1.5";"109890.91";"1243.48";"3918.52";"83.42";"263608.5";"1190.99";"2244.64";"33.56";"<LOD";"1347.34"
"7";129;"MAR2_52";1;"pottery";"Marandet";"Marandet";"25.09.2023 15:17";"TestAll Geo";"330.03";"ppm";"Final";"Juan-Marco Puerta Schardt";"<LOD";"1.5";"361.88";"4.44";"354.18";"4.21";"<LOD";"4.24";"58.32";"2.32";"5.51";"0.75";"76.49";"4.71";"<LOD";"2.05";"10.07";"3.8";"<LOD";"32.06";"0.37";"0.16";"64.55";"6.16";"<LOD";"34.91";"74.92";"10.01";"71.25";"16.53";"<LOD";"71.28";"25113.54";"164.33";"452.76";"37.08";"117.79";"7.41";"186.65";"6.93";"5545.26";"47.35";"1.49";"0.81";"3138.37";"40.43";"8396.02";"85.77";"283.03";"56.57";"884.09";"28.2";"<LOD";"13.76";"418.77";"17.28";"46.54";"7.01";"<LOD";"0.78";"<LOD";"7.35";"<LOD";"4.23";"37.92";"6.17";"385.35";"25.57";"220.56";"20.46";"581588.63";"2536.11";"37.94";"2.01";"139.42";"2.96";"<LOD";"46.05";"<LOD";"1.5";"<LOD";"1.5";"<LOD";"1.5";"101174.07";"1244.89";"715.46";"66.53";"254622.89";"1185.87";"3271.7";"42.61";"<LOD";"1491.54"
"8";149;"MAR2_52";1;"pottery";"Marandet";"Marandet";"26.09.2023 12:23";"TestAll Geo";"330.18";"ppm";"Final";"Juan-Marco Puerta Schardt";"<LOD";"1.5";"371.55";"4.88";"312.76";"4.35";"<LOD";"4.6";"59.44";"2.53";"<LOD";"201.73";"77.93";"5.21";"<LOD";"2.61";"9.59";"4.2";"<LOD";"37.79";"0.37";"0.18";"56.3";"6.74";"<LOD";"43.32";"83.77";"11.84";"110.7";"19.78";"<LOD";"80.03";"26689.57";"185.75";"531.46";"42.63";"80.68";"5.94";"174.05";"7.25";"3935.43";"37.04";"<LOD";"1.02";"2767.07";"35.12";"8149.79";"77.76";"302.49";"50.67";"789.95";"30.14";"<LOD";"14.7";"359.31";"18.25";"30.66";"7.42";"<LOD";"0.82";"<LOD";"8.57";"<LOD";"5.53";"24.6";"6.4";"470.99";"30.91";"270.05";"24.54";"587835.63";"2751.42";"35.71";"2.17";"132.59";"3.18";"<LOD";"49.15";"<LOD";"1.5";"<LOD";"1.5";"<LOD";"1.5";"98799.52";"1315.67";"620.02";"76.67";"243820.41";"1217.24";"4267.54";"51.99";"<LOD";"1704.61"
"9";150;"MAR2_52";2;"pottery";"Marandet";"Marandet";"26.09.2023 12:39";"TestAll Geo";"330.57";"ppm";"Final";"Juan-Marco Puerta Schardt";"<LOD";"1.5";"351.81";"4.25";"324.27";"3.93";"4.56";"2.75";"57.48";"2.22";"<LOD";"177.17";"57.09";"4.17";"<LOD";"1.93";"<LOD";"6.83";"<LOD";"31.83";"0.41";"0.15";"58.03";"5.84";"<LOD";"33.54";"67.8";"9.32";"<LOD";"28.23";"<LOD";"85.99";"26276.19";"163.82";"470.18";"36.61";"157.62";"9.02";"187.53";"7.08";"7698.58";"57.48";"1.71";"0.96";"3560.6";"47.9";"9543.35";"100.91";"359.5";"67.75";"1080.75";"27.27";"40.48";"8.72";"464.59";"16.46";"63.15";"6.68";"<LOD";"0.73";"<LOD";"6.72";"<LOD";"3.97";"40.02";"5.79";"443.41";"24.79";"259.1";"19.79";"557327.69";"2550.77";"36.14";"1.92";"129.76";"2.79";"<LOD";"43.15";"<LOD";"1.5";"<LOD";"1.5";"<LOD";"1.5";"117270.59";"1300.42";"712.59";"59.66";"263099.19";"1156.3";"2747.85";"37.32";"<LOD";"1403.86"
"10";151;"MAR3_33";1;"pottery";"Marandet";"Marandet";"26.09.2023 13:04";"TestAll Geo";"330";"ppm";"Final";"Juan-Marco Puerta Schardt";"<LOD";"1.5";"342.41";"4.15";"328.83";"3.9";"<LOD";"3.79";"41.5";"1.94";"4.2";"0.64";"27.1";"3.36";"<LOD";"1.79";"4.83";"2.69";"<LOD";"30.64";"0.41";"0.15";"115.79";"6.91";"<LOD";"32.51";"45.31";"8.67";"<LOD";"28.44";"<LOD";"79.77";"21792.62";"147.09";"303.7";"32.11";"104.54";"8.42";"168.73";"6.49";"7111.48";"53.21";"2.73";"1.12";"5566.58";"56.39";"10377.77";"102.68";"342.34";"66.43";"2010.14";"30.84";"37.93";"8.54";"458.58";"16.05";"60.05";"6.5";"<LOD";"0.71";"<LOD";"6.64";"<LOD";"3.86";"31.99";"5.52";"351.67";"23.75";"205.48";"19.19";"611668.5";"2232.42";"32.8";"1.77";"69.52";"2.11";"<LOD";"38.59";"<LOD";"1.5";"<LOD";"1.5";"<LOD";"1.5";"89414.97";"1074.09";"331.87";"54.14";"238078.5";"1049.97";"3134.93";"38.08";"<LOD";"1296.02"
