"";"Object";"N_Measurements";"purpose";"Site";"Region";"Zr";"Sr";"U";"Rb";"Th";"Pb";"As";"Hg";"Au";"Zn";"Cu";"Ni";"Co";"Fe";"Mn";"Cr";"V";"Ti";"Sc";"Ca";"K";"S";"Ba";"Cs";"Te";"Sb";"Sn";"Pd";"Ce";"La";"Bal";"Nb";"Y";"Al";"P";"Si";"Cl";"Mg"
"123";"MAR2_20";1;"pottery";"Marandet";"Marandet";389,912663863355;210,631112801882;1,39;59,2886141034552;2,19274674384949;27,8422024169484;7,07;6,825;0,41;68,9702507448206;23,7649539237187;150,080101663006;30,955;30244,034435108;464,740927238637;120,984566043827;130,784993824818;6692,13687034881;0,47;4117,47888632809;10768,7563615067;130,349096958586;1232,68061709128;20,55;440,15;50,77;0,335;42,31;63,4859656216189;242,5;557338,63;40,5041878500646;81,2426639408712;136142,443071489;1003,20946221103;263504,106884798;2703,82;-1458,46569531412
"124";"MAR2_20";2;"pottery";"Marandet";"Marandet";364,565573622051;250,169964884983;1,39;66,6888921432354;1,49243994211288;40,9542284700261;1,625;6,825;0,095;77,8687703481321;21,4407671012214;69,5731188065151;30,955;27832,3211689264;465,698415167158;39,1190192441121;127,754343981081;4300,89309230301;0,47;2543,23470676817;7650,00517693057;124,402549037501;811,232834610612;5,29;349,93;25,39;0,335;28,55;160,622333653877;164,52;585328,31;38,3637523011241;140,813599622582;118988,292094849;216,462905147354;253878,735126507;4583,9;-1458,46569531412
"125";"MAR2_20";3;"pottery";"Marandet";"Marandet";375,276893879649;222,29612420834;4,69;61,7304251886418;2,10949348769899;31,364235508719;6,6;6,825;0,41;80,1757939489906;23,8998290139362;166,421631400291;84,06;25225,0332973143;478,395389019303;19,6262437603593;119,762159351616;4192,91136828005;0,47;2807,81825685931;8283,47846477595;125,641870164544;1671,69428971337;93,89;496,05;83,82;0,335;41,19;49,0056056102541;256,82;632281,5;37,4973855313149;96,9248875609373;108146,05462978;369,881047106684;229063,393757744;4508,71;-1458,46569531412
"126";"MAR2_3";1;"pottery";"Marandet";"Marandet";303,716373745082;618,161936831754;1,39;51,102465829362;2,29069175108538;160,054293206174;1,625;6,825;0,28;54,7532985826671;72,9341497592458;175,559166157971;30,955;20501,1044607777;495,835347717374;99,0051001715299;158,593934565473;7572,62476305021;3,13;8452,27343333539;12133,0580001448;185,989131841008;2510,94977477848;33,58;427,85;43,15;0,335;30,19;44,6853782605366;256,07;529294,44;33,9911482511457;91,6616228966819;145186,981396037;4758,55616195508;276744,870249487;2212,67;-1458,46569531412
"127";"MAR2_3";2;"pottery";"Marandet";"Marandet";302,168845889168;510,198533389004;1,39;46,5556451879799;2,19111432706223;195,747582853347;1,625;6,825;0,5;47,8645390350054;66,1301831545255;93,4772839661123;103,19;21563,1996038997;575,700099755305;46,9695624542266;170,061712090525;4909,36708994599;3,01;5749,99209800754;8828,93165766515;216,373337596401;2428,54148281587;72,61;496,47;65,1;0,335;41,8;95,7537943525912;227,12;644634,19;33,0228559790059;89,9558641295801;96036,0551034065;3613,81576066067;226784,364445133;3377,54;-1458,46569531412
"128";"MAR2_3";3;"pottery";"Marandet";"Marandet";301,511399414433;617,636915860104;1,39;48,5296763717898;2,34456150506512;157,271887063675;1,625;6,825;0,43;55,5740044574823;75,9567968703693;29,9745360127792;104,96;19756,3167293615;496,577400861978;67,7365098726054;162,9552159888;7229,23815804189;2,51;7856,74743383837;11114,9433872415;180,360639784385;2451,12778896096;27,89;426,45;49,74;0,335;32,26;73,1250658390791;221,25;559248,06;33,9299929497474;89,6408366095298;131604,069415074;4447,49856122602;265932,658551926;2244,64;-1458,46569531412
"129";"MAR2_52";1;"pottery";"Marandet";"Marandet";346,480738286276;342,506835044285;1,39;52,7022730920705;2,28252966714906;48,4159071487345;10,07;6,825;0,37;53,544857648884;25,9566741397525;120,936667427333;30,955;21903,3571935274;507,554316042529;82,3381092202136;143,201423517023;5210,04026334112;1,49;3754,28690971141;9114,09395233957;121,496176482931;1275,49329990746;5,29;418,77;46,54;0,335;37,92;90,0658568368826;220,56;581588,63;38,7102990090478;108,95740210725;122733,27644816;953,666255614564;259020,328645192;3271,7;-1458,46569531412
"149";"MAR2_52";1;"pottery";"Marandet";"Marandet";356,261518918096;302,967982961185;1,39;53,7501000711544;1,49243994211288;49,1404396704702;9,59;6,825;0,37;48,2135005880765;28,0881822619392;182,451299883048;30,955;23231,2541666302;534,466566033474;44,2054314024978;137,912477806347;3802,14993545668;0,47;3414,10936842244;8952,67898264375;125,764705532888;1170,69907317019;5,29;359,31;30,66;0,335;24,6;28,0919422255244;270,05;587835,63;36,4373603070777;103,709504639094;120316,788197878;849,562256548809;250710,341279739;4267,54;-1458,46569531412
"150";"MAR2_52";2;"pottery";"Marandet";"Marandet";336,295375208466;313,955240022423;4,56;51,9164028577575;1,49243994211288;38,6548440086843;1,625;6,825;0,41;49,3314700081003;24,2418337069876;29,9745360127792;30,955;22882,957464955;513,511258797831;123,265744830012;143,570810201578;7093,24432888849;1,71;4141,12548568351;9866,2209765897;138,269784728058;1494,41015385001;40,48;464,59;63,15;0,335;40,02;48,0503794625779;259,1;557327,69;36,8756399670988;101,535046390942;139114,08605437;950,535718341736;265540,863365534;2747,85;-1458,46569531412
"151";"MAR3_33";1;"pottery";"Marandet";"Marandet";326,787687727689;318,308141169186;1,39;36,9661572097565;2,06868306801737;23,5654479483697;4,83;6,825;0,41;86,6574316847361;18,8251537445041;29,9745360127792;30,955;19105,2888725459;456,581762247735;68,7229655639287;135,679367395173;6579,79109997552;2,73;5978,96374120425;10413,2212568707;134,5057580838;2528,98319811759;37,93;458,58;60,05;0,335;31,99;114,438596726076;205,48;611668,5;33,4713281892601;55,2490517376946;110766,492432709;535,25413279779;246293,281534794;3134,93;-1458,46569531412
